date_played_est,iron_source,enter_type,gold_source,spawn_biome,rta,time_wood,time_iron_pick,time_nether,time_bastion,time_fortress,time_first_portal,time_second_portal,time_stronghold,time_end,igt,gold_dropped,blaze_rods,blazes_killed,flint_picked_up,gravel_mined,deaths_total,jumps,eyes_used,diamond_picks_crafted,ender_pearls_used,obsidian_placed,diamond_sword_crafted,stone_mined,netherrack_mined,trade_enchanted_book, trade_iron_boots,trade_potion,trade_splash_potion,trade_iron_nugget,trade_ender_pearl,trade_string,trade_quartz,trade_obsidian,trade_crying_obsidian,trade_fire_charge,trade_leather,trade_soul_sand,trade_nether_brick,trade_glowstone_dust,trade_gravel,trade_magma_cream,killed_blaze,killed_chicken,killed_cod,killed_cow,killed_creeper,killed_enderman,killed_endermite,killed_ghast,killed_hoglin,killed_iron_golem,killed_pig,killed_piglin,killed_salmon,killed_sheep,killed_skeleton,killed_spider,killed_witch,killed_wither_skeleton,killed_zombie,eaten_bread,eaten_cooked_beef,eaten_cooked_chicken,eaten_cooked_cod,eaten_cooked_mutton,eaten_cooked_porkchop,eaten_cooked_salmon,eaten_enchanted_golden_apple,eaten_golden_apple,eaten_apple,eaten_rotten_flesh,eaten_golden_carrot,eaten_mushroom_stew,travel_walk_on_water,travel_walk,travel_walk_under_water,travel_swim,travel_boat,travel_sprint,seed,igt_2,date_played_est_2,bastion_type,end_fight_type,real_deaths,frame_eyes,run_id,,,,,,,,,,notes,
Date Played (EST),Run Types,,,,Splits,,,,,,,,,,,Miscellaneous,,,,,,,,,,,,Blocks Mined,,Piglin Barters (currently does not account for same items picked up twice),,,,,,,,,,,,,,,,,Mobs Killed,,,,,,,,,,,,,,,,,,,Foods Eaten,,,,,,,,,,,,,Distance Traveled (m),,,,,,,,,Manual Input,,,,,,,,,,,,,,,
,Iron Source,Enter Type,Gold Source,Spawn Biome,RTA,Wood,Iron Pick,Nether,Bastion,Fortress,Nether Exit,Second Portal,Stronghold,End,IGT,,,,,,Deaths,Jumps,Eyes Used,,Pearls Thrown,Obsidian Placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walk (On Water),Walk,Walk (Under Water),Swim,Boat,Sprint,Seed,Igt,Date Played,Bastion Type,End Fight Type,Deaths,Frame Eyes,Run Number,Recent Version?,7,6,5,4,3,2,1,VOD,Notes,
4/27/2025 15:23:16,Buried Treasure,Magma Ravine,Bastion,river,0:21:26,0:01:08,0:01:23,0:03:41,0:07:07,0:12:59,0:14:12,0:15:38,0:17:53,0:18:14,0:19:56,205,8,13,1,10,0,741,17,0,12,21,0,63,89,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,12,272,16,296,177,677,-975598979876266451,0:19:56,04/27/2025 15:23:16,Treasure,Ground Zero,0,2,"5,722",FALSE,,,,,,,https://www.twitch.tv/couriway/clip/SuaveAnnoyingDootCorgiDerp-QWSL-Yr06aYifVX1,,"Called ocean off loading screen, fell in cave shaft like an idiot and cheated fall damage, of course good boat right next to coast, bt too far to care so killed pig nation for food, sub 4 enter in close magma ravine, 18 chunk bastion, pearl chest clutched with armor for bottom first preinstalled trading hole with piglins in top, endermite fell off trevor to death, found fort quick after digging through wall, 1st portal floating over swamp, 1k blind, cave triangulation refusing to dig up, gave in after 2 minutes, missed 2nd portal by 121 blocks, o 56 end spawn ruined chances for zero, dragon flew mid ground, barely sub 20",
4/27/2025 14:52:29,Structureless,Lava Pool,Bastion,plains,0:27:36,0:00:10,0:03:32,0:09:43,0:12:18,0:18:35,0:21:20,0:22:42,0:23:17,0:25:03,0:26:57,143,8,19,1,6,1,1118,14,0,14,21,0,83,54,,,,,,,,,,,,,,,,,,19,0,0,5,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,13,0,0,0,11,0,0,0,0,0,0,0,53,466,12,49,34,1381,5437513242305135227,0:26:57,04/27/2025 14:52:29,Bridge,Perch,1,2,"5,721",FALSE,,https://www.twitch.tv/couriway/clip/VibrantDreamyHarePJSalt-BWWyJP6w9wOKa6ue,https://www.twitch.tv/couriway/clip/SarcasticGoodPartridgeSaltBae-IFd4L63CaeV8YT-P,https://www.twitch.tv/couriway/clip/FlaccidQuaintPrariedogThunBeast-d944ILguGmEmqE2g,https://www.twitch.tv/couriway/clip/ShakingTransparentChipmunkTBCheesePull-VlxmiEH0rnJv_bKR,https://www.twitch.tv/couriway/clip/FilthyPoisedPuppyVoteYea-EwLQXqIq2liPK_bw,https://www.twitch.tv/couriway/clip/MagnificentDifferentLemurHumbleLife-rRXEg7aRaS2xr9Eb,,"Nothing in 32 rd but beautiful mansion in sight hyped up the mood, did standard cave stuff first, died to vexes after getting the totem, learned that evokers have x-ray hacks enabled, slow sub 10 enter after all the silliness, rp with 4 obi on way to far bastion, used leaf nation to get over giant lava ocean almost popped totem multiple times trying to route most normal crimson bridge, obi nation in triple chests, almost left totem behind due to offhand looting, far fort played hide and seek, blazes helped finding it, saved wolf from suffocating to 1st portal, 700 blind in 2nd ring, 2nd portal 2 chunks on diagonal off, insta naved chicken jockey as minecraft movie reference, creeper nation, popped totem while trying o 58 back 95 on m 88, no ground and arrows so had to wait ",
4/27/2025 14:22:47,Structureless,Lava Pool,Bastion,forest,0:25:06,0:00:13,0:03:30,0:06:22,0:09:53,0:14:04,0:16:46,0:18:38,0:19:59,0:20:40,0:23:53,142,10,20,1,11,1,928,16,0,16,20,0,79,46,,,,,,,,,,,,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,38,5203,12,119,114,1003,207883664612436149,0:23:53,04/27/2025 14:22:47,Stables,Other,0,2,"5,720",FALSE,,,,,,,,,"Found iron in 3rd checked cave, no animals, murdered salmon in river in 2 ways, dug straight down and hit lava for mid 6 enter, basalt spawn + no spawner in 16 rd + 31 chunk bastion + awful terrain, triple to gap 500 blocks out 2 dumb piglin stragglers, bottom chest clutched for 20 obi, 21 chunk fort, bad blaze rates, 1st portal close to jungle temple, 1.1k blind, insta nav, misplaced anchor on front side 94 on tall boy, forgot that breaks crystal, dragon went to outer space for east-west perch and flipped after 1st bed",
4/27/2025 13:53:20,Full Shipwreck,Magma Ravine,Bastion,plains,0:24:12,0:00:13,0:03:23,0:05:21,0:07:49,0:13:52,0:16:15,0:18:34,0:20:51,0:22:05,0:23:04,128,10,15,1,2,4,835,23,0,24,20,0,28,156,,,,,,,,,,,,,,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,6,0,0,0,0,0,0,19,0,0,13,272,4,1002,307,983,-2016363512696830243,0:23:04,04/27/2025 13:53:20,Stables,Other,0,0,"5,719",FALSE,,,,,,,,,"Ocean spawn, went 10 years for boat had to get bt, sheared on bt island went back to enter in ocean, farish stables with bad terrain but trades hit even with 10 million zombie piglins, rp nearby for 4 extra obby, bad terrain to fort back at spawn, mismeasured angle change somehow it was really bad, annoying nav o59 end perch on ground 0",
4/27/2025 13:27:09,Buried Treasure,Magma Ravine,Bastion,wooded_hills,0:24:46,0:00:11,0:06:12,0:06:37,0:09:41,0:14:56,0:15:57,0:19:31,0:20:20,0:20:50,0:23:46,146,8,12,2,4,0,762,15,0,10,20,0,21,272,,,,,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,14,234,28,1576,729,831,-3580257920531584981,0:23:46,04/27/2025 13:27:09,Bridge,Other,0,1,"5,718",FALSE,,,,,,,,,"Forest spawn near ocean, swam with dolphin to rp, mushroom island killed mooshrooms for food, got bt map in bad boat, mid 6 magma ravine enter, broke gold axe trying to repair it with mending, decent terrain to far bastion, left side triple dk, insane obby chest, spawner 21 away, needed all gold to get more than 15 pearls, dug through wall to fort, 0.8 angle change 1.4k blind, good blaze rates, dug to coords, bedrock sh, insta-nav, didn’t want to push risky zero so ground, mouse moved somehow on ground, dragon perched for sub 24",
4/27/2025 13:00:34,Structureless,Lava Pool,Bastion,wooded_hills,0:23:25,0:00:13,0:02:10,0:06:37,0:07:44,0:12:47,0:14:44,0:15:31,0:18:00,0:18:36,0:22:21,237,8,14,1,63,1,807,18,1,17,30,0,39,159,,,,,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,21,0,0,0,0,0,0,0,0,0,1,0,0,18,396,4,37,46,1051,4945026385720608926,0:22:21,04/27/2025 13:00:34,Treasure,Perch,0,1,"5,717",FALSE,,,,,,,,,"Village in sight from spawn, mountain terrain too annoying, pivotted to caving, average 1/64 flint rates (1 in 763), decent enter with diamond pick, bastion in 16 rd, played bottom first after getting armor from rp 19 chunk basalt fort with good terrain, insane blaze melee combo, 1st portal at y 21 under snowy mountains, cave educated, 1.7k blind, double educated, almost forgot to do math, insta nav, pearl hit crystal on free zero, dragon fireballed ground setup, no bow so had to wait, lost sub 20 to the silliness",
4/27/2025 12:34:42,Structureless,Lava Pool,Bastion,plains,0:31:31,0:00:11,0:04:37,0:05:13,0:16:06,0:09:16,0:21:22,0:23:19,0:26:05,0:28:19,0:29:48,162,8,21,1,9,0,1266,18,0,12,20,0,96,238,,,,,,,,,,,,,,,,,,21,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,2,0,1,0,0,21,0,0,0,0,0,0,0,7,453,5,19,81,1428,5963880992943053234,0:29:48,04/27/2025 12:34:42,Bridge,Half Bow,0,1,"5,716",FALSE,,,,,,,,,"Preferred cave with exposed iron over far ocean, randomly found lava pool while killing animals, low 5 enter, spawn in wall with no bastion in 32 rd, played very close fort first, lost 50/50 on diagonal twice after trying to eray fort mobs, blazes helped out after getting lost, started 3/15 on blazes (1 in 155), boat broke leaving to 30 chunk bastion, almost sniped off bridge by blaze unlocked closer bastion after half the way, reached chalice 600 blocks out, had to trade all possible backups for 20 obi, 1.6k blind, 2nd portal at y 23 under mountains, missed chunk, half iron door, scary mob combo while backnaving, no preemptive spike, dragon flew on caged back small boy, half bowed forgetting ground, perch barely for sub 30",
4/26/2025 22:53:51,Village,Lava Pool,Bastion,plains,0:27:06,0:01:00,0:01:43,0:06:07,0:08:48,0:13:12,0:16:17,0:18:22,0:21:08,0:21:45,0:25:39,152,9,20,1,4,0,1053,16,0,19,21,0,117,270,,,,,,,,,,,,,,,,,,20,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,1,0,0,0,2,380,0,2,37,1010,4495531126365231060,0:25:39,04/26/2025 22:53:51,Bridge,Perch,0,4,"5,715",FALSE,,,,,,,,,"Acacia village closeby, 4 iron golem, cod kill strats, mid run pause to watch basketball clip, mob nation in cave, dig for lava, caged spawn, far bridge, dk route, great trades but no arrows, wall dig, endermite spawn, warped fort with stray nation, enderman playing enemy role double plumbing on spawner, 0.4 blind, both eyes broke, 2nd portal at 460 450, 30 block digup, another eye break(1 in 125), eye went back, sh 700 blocks back, 1.5k blind dist, cool 4 eye, front 95, no arrows and dragon flew, no ground, dragon took sweet time, broke end stone with hand coz bored, perch for sub 26",
